Reference,Colour_Description,Breed_Description,Animal_Name,Gender,Suburb
128123,Black /Tan,Australian Kelpie,REX,Male,ELIZABETH SOUTH
128138,Black /Tan,Rottweiler,INDY,Female,ELIZABETH EAST
128146,Brown,Jack Russell Terrier,SAM,Male,CRAIGMORE
128153,Tan,Spaniel X,LION,Male,SMITHFIELD PLAINS
128156,Black,Boxer X,DINA,Female,BLAKEVIEW
128159,Black,Australian Kelpie X,JAZZ,Desexed Female,HILLBANK
128160,Red,Australian Cattle Dog X,BUSTER,Male,CRAIGMORE
128164,Tan/White,Australian Cattle Dog X,BEETHOVEN,Male,ELIZABETH SOUTH
128167,White,Jack Russell Terrier X,HARRY,Male,ANDREWS FARM
128170,White,Maltese X,MUNCHIE,Desexed Male,ONE TREE HILL
128180,White,Jack Russell Terrier,JACK,Male,ELIZABETH EAST
128182,Brindle,Staffordshire Bull Terrier X,JACK,Male,ELIZABETH EAST
128186,Grey/Black,Australian Cattle Dog,KELLY,Female,HUMBUG SCRUB
128187,Gold,Cocker Spaniel,CHABLIS,Male,ONE TREE HILL
128192,Black/White,Siberian Husky,SCHNOOK,Desexed Female,ELIZABETH VALE
128193,Gold,Labrador Retriever,HOLLY,Female,ANGLE VALE
128194,White,Maltese X,ZOEY,Desexed Female,SMITHFIELD
128197,Black,Fox Terrier (Smooth),reilly,Male,MUNNO PARA
128199,Black /Tan,Labrador Retriever X,RALPH,Male,ELIZABETH VALE
128202,Tan/White,Tenterfield Terrier,ELLIE,Desexed Female,CRAIGMORE
128211,Sable/Black,Collie (Rough),SKIP,Male,ELIZABETH DOWNS
128221,Black,Border Collie X,BELLA,Desexed Female,MUNNO PARA WEST
128226,Brindle,German Shepherd Dog X,TYSON,Desexed Male,SMITHFIELD PLAINS
128232,Brown,Chihuahua X,STANLEY,Male,ELIZABETH PARK
128244,White,Pomeranian X,ZAC,Desexed Male,ANGLE VALE
128245,Brindle,Boxer X,MORRIS,Male,ELIZABETH EAST
128254,Gold,Cocker Spaniel X,BENJI,Male,ELIZABETH NORTH
128255,White/Brown,Jack Russell Terrier X,BUSTA,Male,HILLBANK
128256,Black/White,Jack Russell Terrier X,RILEY,Desexed Male,HILLBANK
128257,White/Brown/Black,Maltese X,LUCY,Desexed Female,CRAIGMORE
128261,Black /Tan,Rottweiler,ROO,Desexed Male,CRAIGMORE
128266,Brown/Black,Chihuahua,ROSIE,Female,CRAIGMORE
128271,Black /Tan,Staffordshire Bull Terrier X,CARLA,Female,DAVOREN PARK
128274,Blue,Collie (Smooth),PIXIE,Desexed Female,ELIZABETH NORTH
128281,Black /Tan,German Shepherd Dog X,JACK,Male,ELIZABETH NORTH
128283,White/Black,Fox Terrier (Smooth)  X,COCO,Female,SMITHFIELD
128284,Tan/White,Jack Russell Terrier,ANGEL,Female,CRAIGMORE
128285,Tan,Pomeranian,XENA,Female,DAVOREN PARK
128287,Sandy,Staffordshire Bull Terrier X,CHILLI,Desexed Female,DAVOREN PARK
128288,Brindle,German Shepherd Dog X,REX,Desexed Male,CRAIGMORE
128290,Black/White,Dalmation X,ALFIE,Desexed Male,ELIZABETH PARK
128293,Tan/White,Jack Russell Terrier,CASSIUS,Desexed Female,HILLBANK
128297,White/Brown,Jack Russell Terrier,OSCAR,Desexed Male,ANGLE VALE
128298,Cream,Pomeranian,HONEY,Desexed Female,SMITHFIELD
128301,White,Maltese X,BILLIE,Male,ELIZABETH VALE
128306,Black/Brown,German Shepherd Dog,ANNA,Desexed Female,VIRGINIA
128307,Tri-Colored,German Shepherd Dog,KING,Male,VIRGINIA
128312,Black /Tan,Rottweiler,ELLIE,Female,ULEYBURY
128318,Black/Brown,Rottweiler X,ZENA,Desexed Female,CRAIGMORE
128321,Tan,Australian Cattle Dog X,REX,Desexed Male,DAVOREN PARK
128322,Red,Dachshund (Miniature),MAX,Male,ELIZABETH PARK
128323,Tri-Colored,Jack Russell Terrier,TINY,Male,MUNNO PARA
128326,Fawn,Pug,TOMMY GIRL,Female,ELIZABETH DOWNS
128327,Fawn,Pug,REBEL,Male,ELIZABETH DOWNS
128345,Black /Tan,German Shepherd Dog,BEAR,Male,GOULD CREEK
128348,Black,Cocker Spaniel X,EBONY,Desexed Female,HILLBANK
128350,Black /Tan,German Shepherd Dog,JACKIE,Desexed Female,ANGLE VALE
128355,Tan,Rottweiler X,TITAN,Male,ELIZABETH EAST
128358,Tan/White,Jack Russell Terrier,BUDDY,Male,DAVOREN PARK
128363,White/Brown,King Charles Spaniel,K.C.,Desexed Male,VIRGINIA
128364,Black/White,Tenterfield Terrier,SARA,Female,ELIZABETH PARK
128380,Cream,Golden Retriever,THEODORE MARCUS (TEDDY),Male,VIRGINIA
128382,Apricot,Poodle (Toy),TINY,Male,DAVOREN PARK
128383,Chocolate,Poodle (Toy),BONNIE,Female,DAVOREN PARK
128384,Tan,Chihuahua,PRINCESS,Desexed Female,ELIZABETH GROVE
128385,Black/Brindle,Staffordshire Bull Terrier,CASS,Female,ELIZABETH VALE
128389,Black /Tan,Staffordshire Bull Terrier X,MISSY,Female,ELIZABETH DOWNS
128397,Fawn,Whippet X,DASHA,Female,ELIZABETH DOWNS
128402,Silver,Siberian Husky,KODI,Male,CRAIGMORE
128410,White,Maltese X,MISSY,Female,SMITHFIELD PLAINS
128412,Cream,Terrier X,SCRUFFY,Desexed Male,CRAIGMORE
128426,White,Chihuahua,SALLY,Female,ELIZABETH GROVE
128430,White,Maltese X,PENNY,Female,ELIZABETH DOWNS
128431,Black /Tan,German Shepherd Dog,REX,Male,ANGLE VALE
128433,White/Black,American Bull Dog,MOLLY,Female,ELIZABETH NORTH
128434,Black/Grey,Maltese X,KARSHA,Desexed Female,CRAIGMORE
128435,Tan/White,Maltese X,SALLY,Female,ELIZABETH VALE
128436,Black,Poodle,ABBY,Desexed Female,BLAKEVIEW
128438,Caramel,Pomeranian,BELLA,Female,ANDREWS FARM
128439,Cream,Pomeranian X,ZOE,Female,CRAIGMORE
128448,Black/White,Maltese X,TINKA BELL,Desexed Female,DAVOREN PARK
128460,Brindle,Staffordshire Bull Terrier,CHEVY,Male,ELIZABETH NORTH
128462,Tan,Fox Terrier (Smooth),ANGEL,Desexed Female,ANGLE VALE
128470,Gold,Labrador Retriever,MOLLY,Desexed Female,CRAIGMORE
128471,Brown/Black,Siberian Husky X,STORM,Desexed Female,ELIZABETH PARK
128478,Black/White,Great Dane,WALLY,Desexed Male,WATERLOO CORNER
128479,Gold,Labrador Retriever X,KATIE,Female,ELIZABETH VALE
128485,Black /Tan,Staffordshire Bull Terrier X,SHEEBA,Female,ELIZABETH DOWNS
128489,Black /Tan,Pomeranian X,MIA,Desexed Female,DAVOREN PARK
128491,Tan,Pomeranian X,CHIP,Male,SMITHFIELD PLAINS
128492,Brown/White,Jack Russell Terrier,UMBRO,Desexed Male,CRAIGMORE
128494,Cream,Labrador Retriever X,WELLARD,Male,ELIZABETH DOWNS
128497,Black/White,Jack Russell Terrier X,BAZ,Male,ANDREWS FARM
128499,Black/White,Dalmation,LUCKY,Desexed Female,CRAIGMORE
128500,Tan,Fox Terrier (Smooth)  X,STELLA,Female,HILLBANK
128506,Black,Labrador Retriever X,PEACHES,Female,HUMBUG SCRUB
128509,Black/White,Jack Russell Terrier,LULU,Desexed Female,ELIZABETH VALE
128513,Black/Tan/White,Beagle,ZOE,Female,CRAIGMORE
128516,Blue,Australian Cattle Dog,PATCHES,Female,ELIZABETH GROVE
128522,Black,Labrador Retriever X,CUDDLES,Desexed Female,ELIZABETH DOWNS
128536,Tri-Colored,Fox Terrier (Smooth),FOXIE,Desexed Female,ANDREWS FARM
128537,Black/White,Maltese,TIFFANY,Female,SMITHFIELD PLAINS
128543,Brindle/White,Boxer,BRANDI,Female,CRAIGMORE
128547,Black,Chihuahua,HARMONY,Female,ELIZABETH DOWNS
128549,Tan/White,Staffordshire Bull Terrier X,JACKIE,Desexed Female,CRAIGMORE
128553,Black,Labrador Retriever X,SOOTY,Male,DAVOREN PARK
128560,White,Jack Russell Terrier,BONNIE,Desexed Female,ONE TREE HILL
128561,Tan/White,Shih Tzu X,GEM,Female,BLAKEVIEW
128562,Gold,Labrador Retriever,BUNDY,Desexed Male,ELIZABETH PARK
128569,Gold,Labrador Retriever,KINYA,Female,CRAIGMORE
128570,Black /Tan,Coolie X,BUSTER,Male,ELIZABETH EAST
128571,Gold/Black,Pekingese,MIN MING,Male,ELIZABETH DOWNS
128574,White/Brown,Border Collie,NEV,Male,SAMPSON FLAT
128577,White/Brown,Chihuahua X,HERBIE,Desexed Male,DAVOREN PARK
128580,Tan,Mastiff X,CASPER,Male,ELIZABETH SOUTH
128595,Grey,German Shepherd Dog,EMMA ROSE,Desexed Female,ELIZABETH NORTH
128599,White,Shih Tzu X,GEORGE,Male,CRAIGMORE
128601,Brindle,Staffordshire Bull Terrier X,SHAUNA,Desexed Female,ELIZABETH EAST
128605,Caramel,Maltese X,CHINO,Desexed Male,PENFIELD
128607,Tri-Colored,Border Collie X,JESSIE,Desexed Female,ANDREWS FARM
128611,Roan,Cocker Spaniel,TOBY,Male,CRAIGMORE
128612,Black/White,Poodle X,MOLLY,Female,CRAIGMORE
128617,Black /Tan,Jack Russell Terrier X,NUTMEG,Desexed Female,ELIZABETH EAST
128631,Black,Australian Kelpie X,RUSTY,Desexed Male,MACDONALD PARK
128637,Black,German Shepherd Dog,JAX,Male,ANGLE VALE
128638,Black/White,Bull Terrier X,PEBBLES,Female,SMITHFIELD PLAINS
128640,White,Maltese X,LADY,Desexed Female,ELIZABETH SOUTH
128645,Grey/White,Siberian Husky X,LEVI,Male,ELIZABETH DOWNS
128646,Black/Brown,German Shepherd Dog X,MIA,Desexed Female,ANDREWS FARM
128652,Red,Rhodesian Ridgeback,ROXY,Desexed Female,MUNNO PARA
128653,Tri-Colored,Maltese X,SCRUFFY,Male,ELIZABETH PARK
128658,Black/White,Border Collie X,BUSTER,Desexed Male,ELIZABETH VALE
128666,Brown/White,Staffordshire Bull Terrier X,BUCK,Male,ELIZABETH PARK
128671,White,Tenterfield Terrier,LUCY,Desexed Female,CRAIGMORE
128674,White/Red,American Bull Dog,COOPER,Male,ELIZABETH SOUTH
128677,Tan/White,Fox Terrier (Smooth),ROXIE,Desexed Female,ELIZABETH PARK
128678,White,Fox Terrier (Smooth)  X,BUSTER,Desexed Male,SMITHFIELD PLAINS
128680,Blue/Roan,Australian Cattle Dog,JACK,Desexed Male,ELIZABETH NORTH
128685,Black/White,Staffordshire Bull Terrier,LUCY,Desexed Female,ELIZABETH DOWNS
128690,Tan/White,Maltese X,SCRUFFY,Male,CRAIGMORE
128692,Tan,Collie (Rough Coat) X,CASSIE,Female,VIRGINIA
128694,Black,Flatcoated Retriever,DARE,Male,MACDONALD PARK
128695,Tan,Italian Greyhound,BABA,Male,SMITHFIELD PLAINS
128699,White,Maltese X,MISSY,Desexed Female,ELIZABETH PARK
128701,White,Shih Tzu X,MAX,Male,ELIZABETH EAST
128707,Black/White,Australian Silky Terrier X,PEDRO,Male,ELIZABETH EAST
128712,Black,Dobermann,BONNIE,Desexed Female,VIRGINIA
128719,Brown/White,Tenterfield Terrier,MISSY,Female,DAVOREN PARK
128725,Blue,Australian Cattle Dog X,LUCY,Desexed Female,ELIZABETH GROVE
128727,Black,Chihuahua X,RUFFLES,Desexed Male,ELIZABETH GROVE
128738,Apricot,Poodle (Toy),CJ,Desexed Male,CRAIGMORE
128742,Black /Tan,Dobermann,MEIKA,Female,SMITHFIELD
128743,Black,Staffordshire Bull Terrier,DIESEL,Male,VIRGINIA
128745,Black /Tan,Australian Terrier,JASPA,Male,HILLBANK
128751,Black/Grey,Coolie X,STORM,Desexed Female,ANGLE VALE
128753,Black/White,Border Collie X,BINDI,Desexed Female,ANGLE VALE
128759,White/Brown,Chihuahua X,BENNY,Desexed Male,ELIZABETH EAST
128760,Black/White,Fox Terrier (Smooth),GEM,Female,DAVOREN PARK
128761,Black/White,Papillon,ABBY,Female,SMITHFIELD PLAINS
128762,White,Terrier X,MOLLY,Female,DAVOREN PARK
128766,White/Brown,Maltese X,CHARLOTTE,Female,CRAIGMORE
128774,Tan/White,Maltese X,FIDO,Desexed Male,MUNNO PARA WEST
128780,Tri-Colored,Beagle,ASHA,Desexed Female,ANGLE VALE
128781,White/Red,Maltese X,SASHA,Female,CRAIGMORE
128783,Black,Labrador Retriever,TESS,Female,CRAIGMORE
128789,Tri-Colored,Chihuahua X,MISSY,Desexed Female,ONE TREE HILL
128793,Brown,Terrier,POPPY,Desexed Female,ELIZABETH NORTH
128794,Brindle,Staffordshire Bull Terrier X,MATILDA,Female,ELIZABETH DOWNS
128812,Black /Tan,Dobermann X,SASHA,Desexed Female,ELIZABETH DOWNS
128817,White,Poodle (Toy),JESSIE,Female,ANDREWS FARM
128820,Brown,Chihuahua,COCO,Female,DAVOREN PARK
128829,Black,Australian Kelpie X,ANGEL,Desexed Female,CRAIGMORE
128834,White,Maltese,ZOE,Female,DAVOREN PARK
128838,Black,Pomeranian X,CHOCKO,Male,CRAIGMORE
128854,Tan/White,Papillon,PATRICK,Male,CRAIGMORE
128857,Cream,Labrador Retriever,LEIA,Female,HILLBANK
128870,Gold,Labrador Retriever,MONTI,Male,HILLBANK
128876,Gold,Golden Retriever,BELLA,Female,HILLBANK
128886,Black,Australian Kelpie X,KENDRA,Desexed Female,MUNNO PARA WEST
128889,Black /Tan,German Shepherd Dog,MADDIE,Female,VIRGINIA
128892,Tan/White,Chihuahua X,BOOF,Desexed Male,CRAIGMORE
128900,White,Jack Russell Terrier,TINA,Female,CRAIGMORE
128906,White,Fox Terrier (Smooth)  X,BAZEL,Male,CRAIGMORE
128912,Brown,Australian Kelpie X,DAWN,Female,ANDREWS FARM
128913,Black/White,Chihuahua X,DUDLEY,Male,ELIZABETH EAST
128916,Black,Labrador Retriever X,HARRY,Male,BIBARINGA
128922,White,Maltese X,CHLOE,Female,BLAKEVIEW
128925,Brown,Australian Cattle Dog,SPANNER,Male,ELIZABETH NORTH
128926,Black/White,Papillon X,MITZI,Female,MUNNO PARA
128934,Black,Shar Pei,MAISY,Desexed Female,HILLBANK
128936,Tan,Mastiff X,PETE,Male,CRAIGMORE
128939,Brindle/White,Staffordshire Bull Terrier X,DAJA,Desexed Female,DAVOREN PARK
128940,White,Maltese X,MONTY,Male,HILLBANK
128948,White,Maltese X,BOOF,Male,CRAIGMORE
128950,White,Maltese,ABBEY,Desexed Female,SMITHFIELD
128951,Tri-Colored,Shih Tzu,CLOE,Female,BLAKEVIEW
128962,Fawn,Maltese X,OSCAR,Desexed Male,HILLBANK
128965,Black,Labrador Retriever,NUGGET,Female,ONE TREE HILL
128966,Tan/White,Maltese X,MITZY,Female,MUNNO PARA
128976,White,Fox Terrier (Smooth),BUFFY,Desexed Female,SMITHFIELD
128977,Black,Labrador Retriever X,MAX,Male,CRAIGMORE
128979,Gold,Labrador Retriever,KASPA,Desexed Male,CRAIGMORE
128983,Brindle,Staffordshire Bull Terrier,MAX,Desexed Male,ELIZABETH SOUTH
128986,Brindle,Staffordshire Bull Terrier X,MILO,Male,ELIZABETH DOWNS
128996,White/Black,Akita,MEIKO,Female,YATTALUNGA
129014,Gold,Labrador Retriever,HOLLY,Female,MUNNO PARA
129024,White/Brown,Maltese X,BEAU,Desexed Male,CRAIGMORE
129028,Black/Brown,Akita,KIEKO,Male,DAVOREN PARK
129030,Brindle/White,Maltese X,TOBY,Desexed Male,BLAKEVIEW
129031,Black,Poodle,MANNY,Desexed Male,ANGLE VALE
129040,Black,Poodle,ABBY,Desexed Female,DAVOREN PARK
129050,White,Maltese X,JAZZY,Desexed Female,CRAIGMORE
129051,Tan/White,Fox Terrier (Smooth),MARLEY,Female,MUNNO PARA
129058,Black /Tan,German Shepherd Dog,JENNY LEE,Desexed Female,SMITHFIELD PLAINS
129059,Black /Tan,Jack Russell Terrier X,SAMMY,Male,ANGLE VALE
129061,Black,Chihuahua,SUSIE,Female,ELIZABETH VALE
129063,Blue/Roan,Australian Cattle Dog,MISSY,Female,ELIZABETH PARK
129070,Grey,Cairn Terrier X,SUSIE,Female,ELIZABETH EAST
129076,Black/White,Fox Terrier (Smooth),SNOOPY,Female,ELIZABETH DOWNS
129077,Blue/Roan,Cocker Spaniel,PEPPA,Male,CRAIGMORE
129079,White,Bichon Frise x,ALFIE,Male,BLAKEVIEW
129087,Black /Tan,Dobermann,LOOFA,Desexed Male,SMITHFIELD PLAINS
129090,Tri-Colored,Maltese X,TOBY,Male,DAVOREN PARK
129102,White,Fox Terrier (Smooth)  X,CLEO,Female,BLAKEVIEW
129104,Tri-Colored,Maltese X,ANNIE ROSE,Female,ELIZABETH
129119,Cream,Labrador Retriever,BUSTER,Male,ANGLE VALE
129124,Black,Poodle (Toy),LOUI,Desexed Male,YATTALUNGA
129125,Apricot,Poodle (Toy),FIFI,Desexed Female,YATTALUNGA
129127,Black/White,Papillon X,MISSY,Female,BLAKEVIEW
129136,White,Maltese X,BOBBY,Male,BLAKEVIEW
129139,White,Maltese X,MURPHY,Male,ELIZABETH NORTH
129140,Cream,Shih Tzu,OZZIE,Desexed Male,ELIZABETH NORTH
129148,White,X Breed,PEARL,Desexed Female,MUNNO PARA WEST
129154,Black/White,Border Collie X,EDDIE,Male,ANGLE VALE
129156,Tan/White,Collie (Rough Coat) X,CONNIE,Female,CRAIGMORE
129168,Gold,Cocker Spaniel,OSCAR,Male,ELIZABETH GROVE
129179,White,Jack Russell Terrier X,LUCKY,Desexed Female,ELIZABETH DOWNS
129185,Black /Tan,Australian Kelpie X,HOLLY,Female,SMITHFIELD
129205,Tri-Colored,Jack Russell Terrier,COOPER,Desexed Male,BLAKEVIEW
129206,Black/White,Jack Russell Terrier X,DREWIE,Desexed Female,PENFIELD
129209,White,Maltese,SCRUFFY,Male,DAVOREN PARK
129211,Black/Grey,Australian Cattle Dog X,ABBY,Desexed Female,ELIZABETH DOWNS
129212,Liver,German Shorthaired Pointer,AMY,Desexed Female,WATERLOO CORNER
129213,Cream,Shih Tzu,JAZZ,Female,CRAIGMORE
129218,Gold,Golden Retriever,SHAYLA,Desexed Female,HILLBANK
129229,Black /Tan,German Shepherd Dog X,BELLA,Desexed Female,ANDREWS FARM
129232,Black,Cocker Spaniel X,MOLLY,Desexed Female,CRAIGMORE
129234,Tri-Colored,Jack Russell Terrier X,CINDER,Desexed Female,ANDREWS FARM
129236,Brindle,Staffordshire Bull Terrier,JASPER,Male,ELIZABETH DOWNS
129237,White,Dalmation,NAPOLEON,Male,ANGLE VALE
129238,White,Dalmation,CHAPLIN,Male,ANGLE VALE
129243,Gold,Cocker Spaniel,GINGER,Female,ELIZABETH EAST
129247,Black/White,Tenterfield Terrier,MALA,Desexed Female,DAVOREN PARK
129249,Black,Rottweiler,BOBBY,Female,ELIZABETH DOWNS
129251,Black/White,Terrier X,MATT,Male,CRAIGMORE
129255,Black/White,Border Collie X,NELL,Female,HILLBANK
129256,Black/White,Border Collie X,ROSIE,Female,HILLBANK
129269,Brindle,Staffordshire Bull Terrier X,BUTCH,Male,HILLBANK
129275,White,West Highland White Terrier,ZEUS,Male,ANGLE VALE
129280,White/Red,Boxer,KOSTYA,Desexed Male,MUNNO PARA
129286,Black,Australian Kelpie X,SAM,Male,DAVOREN PARK
129288,Tan/White,Staffordshire Bull Terrier X,CHYNA,Female,ANDREWS FARM
129290,Tan/White,Chihuahua,KASEY,Desexed Female,ELIZABETH NORTH
129302,Black,Staffordshire Bull Terrier X,BRUTUS,Male,ELIZABETH DOWNS
129305,Black,Cocker Spaniel,TAYLOR,Male,CRAIGMORE
129306,Tan,German Shepherd Dog X,JAKOBI,Desexed Male,DAVOREN PARK
129308,Brown,Chihuahua X,MOLLY,Female,HILLBANK
129317,Black,Australian Kelpie X,BELLA,Desexed Female,CRAIGMORE
129323,Brown/White,Jack Russell Terrier X,BONNY WEE LASS,Desexed Female,ELIZABETH VALE
129348,Tan,Staffordshire Bull Terrier,ZEPPLIN,Male,MUNNO PARA WEST
129350,Black /Tan,Chihuahua,JAY,Male,DAVOREN PARK
129368,Brown/White,Australian Cattle Dog X,CASSIE,Desexed Female,CRAIGMORE
129377,Tri-Colored,Collie (Rough Coat) X,EBONY,Desexed Female,CRAIGMORE
129386,Tri-Colored,Cavalier King Charles Spaniel,BOBBY,Male,ELIZABETH GROVE
129387,Blenheim,Cavalier King Charles Spaniel,BELLA,Female,ELIZABETH GROVE
129389,Black/White,Border Collie,SASHA,Desexed Female,ELIZABETH DOWNS
129391,White,Maltese X,ISSY,Female,CRAIGMORE
129392,Gold,Labrador Retriever,CONNER,Male,DAVOREN PARK
129394,Black,German Shepherd Dog,FAY,Desexed Female,ELIZABETH GROVE
129399,Tan,Staffordshire Bull Terrier X,MILLIE,Female,CRAIGMORE
129404,White,Dalmation,APRIL,Female,CRAIGMORE
129405,Black/White,Chihuahua,KILLA,Male,ANGLE VALE
129406,Gold,Cocker Spaniel,BELLA RICHARDS,Desexed Female,ANDREWS FARM
129412,Black,Border Collie X,MISSY,Desexed Female,ELIZABETH EAST
129419,Tan,Mastiff X,KESHA,Female,DAVOREN PARK
129424,White,Jack Russell Terrier,MAX,Male,ELIZABETH DOWNS
129429,Brindle,Staffordshire Bull Terrier,JACK,Desexed Male,HILLBANK
129432,White,Maltese X,FEV,Desexed Male,HILLBANK
129437,White,Maltese X,PENNY,Female,DAVOREN PARK
129439,White,Maltese X,TIA,Female,ELIZABETH DOWNS
129440,Brindle,Whippet X,NUTELLA,Desexed Female,YATTALUNGA
129445,Tan,Shiba Inu,KEIKO,Female,BLAKEVIEW
129450,Tan,Staffordshire Bull Terrier X,RUSTY,Desexed Male,SMITHFIELD PLAINS
129455,Black/White,Papillon X,MILLIE,Female,ELIZABETH EAST
129457,White,Staffordshire Bull Terrier,XENA,Female,CRAIGMORE
129458,White/Brown,Jack Russell Terrier X,BARNEY,Male,BLAKEVIEW
129461,Gold,Labrador Retriever,WILL,Desexed Male,BUCKLAND PARK
129466,Grey/Black,Australian Cattle Dog,COPPER,Male,ELIZABETH NORTH
129467,Tan/White,Jack Russell Terrier X,JET,Desexed Male,CRAIGMORE
129478,Tan/Brown,Australian Kelpie X,MEGZ,Female,DAVOREN PARK
129481,Tri-Colored,Maltese X,SAMPSON,Male,CRAIGMORE
129484,Black /Tan,Terrier,SUZIE,Desexed Female,ELIZABETH EAST
129487,Grey,Shar Pei,SNUFFY,Desexed Male,HILLBANK
129496,Cream,Labrador Retriever,BENTLEY,Male,ELIZABETH DOWNS
129497,Black /Tan,Maltese X,CHEWEE,Female,ELIZABETH PARK
129499,Tan/White,Jack Russell Terrier X,BLAZE,Male,ELIZABETH EAST
129520,White,Maltese X,MOJO,Male,ANGLE VALE
129521,Black/White,Jack Russell Terrier,JACKY,Female,ELIZABETH VALE
129525,White/Brown,Siberian Husky,SIENNA,Female,CRAIGMORE
129526,Black /Tan,Fox Terrier (Smooth)  X,SCRUFFY,Desexed Female,MUNNO PARA WEST
129529,Black/Brown,Rottweiler,SASHA,Female,ANDREWS FARM
129536,Brown,German Shepherd Dog X,MAX,Male,CRAIGMORE
129538,White,Labrador Retriever X,SHAGGY,Male,HILLBANK
129542,Grey/White,Old English Sheepdog,PATRICK,Male,HILLBANK
129549,Black,Labrador Retriever X,JET,Male,ELIZABETH VALE
129550,Red,Irish Setter,EMILY,Female,ONE TREE HILL
129561,Black/White,Maltese X,SADIE,Female,ELIZABETH GROVE
129562,Brindle,Boxer,MAX,Desexed Male,DAVOREN PARK
129566,Cream,Maltese X,LADY,Desexed Female,CRAIGMORE
129569,Black/White,Terrier X,ROSIE,Female,ELIZABETH SOUTH
129571,White/Brown,Fox Terrier (Smooth),PHOEBE,Desexed Female,ELIZABETH EAST
129585,White,Maltese,BONITA,Desexed Female,SMITHFIELD
129593,Black,Labrador Retriever,SHERRY,Desexed Female,BLAKEVIEW
129599,Gold,Golden Retriever,DAKOTA,Female,ELIZABETH DOWNS
129604,Tan/White,Staffordshire Bull Terrier X,SHEEBA,Desexed Female,DAVOREN PARK
129613,Apricot,Maltese X,BEAR,Desexed Female,HILLBANK
129618,Brown/Black,German Shepherd Dog X,MILO,Desexed Male,VIRGINIA
129624,Brown,Shih Tzu X,SOX,Male,DAVOREN PARK
129631,White/Red,Corgi,COREY,Male,BLAKEVIEW
129632,Black /Tan,Rottweiler X,NALA,Desexed Female,BLAKEVIEW
129634,Brown/White,Jack Russell Terrier X,HOLLY,Desexed Female,ELIZABETH EAST
129637,Tan/White,Jack Russell Terrier,GEORGIA,Female,ELIZABETH EAST
129642,Tan/White,Tenterfield Terrier,MAGGIE,Female,MUNNO PARA
129643,Black/Brown,X Breed,MERLIN,Male,DAVOREN PARK
129647,Brown/White,Chihuahua X,HARRY,Desexed Male,CRAIGMORE
129648,Gold,Labrador Retriever,PENNY,Desexed Female,ELIZABETH EAST
129653,Gold,Labrador Retriever X,MURPHY,Desexed Male,CRAIGMORE
129661,Black/White,Maltese X,BONZAI,Male,ELIZABETH
129663,Black,Schnauzer (Miniature),PEPPA,Desexed Female,ELIZABETH PARK
129671,Tri-Colored,Jack Russell Terrier X,DEXTER,Desexed Male,BLAKEVIEW
129679,Black,Border Collie,CASSIE,Female,ELIZABETH EAST
129680,Black/White,Border Collie,TAMMY,Female,ELIZABETH EAST
129687,Gold/Brown,Australian Kelpie,REBEL,Male,ANGLE VALE
129693,Brown,Australian Silky Terrier,COCO POPS,Female,ANDREWS FARM
129704,Black/White,Border Collie,EMMA,Female,MUNNO PARA
129705,Chocolate,Australian Kelpie X,MITCH,Male,ELIZABETH EAST
129714,White,X Breed,TUSI,Male,MACDONALD PARK
129717,Fawn,Greyhound,SUSS,Desexed Male,CRAIGMORE
129718,White,Maltese,MOLLY,Desexed Female,ANGLE VALE
129724,Tan/White,Chihuahua X,JESSIE,Female,ELIZABETH EAST
129731,White,Maltese X,CINDY,Female,HILLBANK
129732,Brown,Staffordshire Bull Terrier X,TIGER,Male,ELIZABETH SOUTH
129738,Tan/White,Staffordshire Bull Terrier X,RUSTIE,Desexed Female,ELIZABETH DOWNS
129748,Brown,Australian Kelpie X,TEDDY BEAR,Desexed Male,ELIZABETH VALE
129756,Tri-Colored,Maltese X,DONNIE,Male,SMITHFIELD
129779,White/Black,Australian Cattle Dog X,SASHA,Desexed Female,HILLBANK
129788,Tri-Colored,Tenterfield Terrier,LIZZIE,Desexed Female,ELIZABETH
129789,Brown/White,Jack Russell Terrier,JACK,Desexed Male,ELIZABETH
129795,White,Chihuahua X,SNOWIE,Desexed Male,ELIZABETH VALE
129796,White,Chihuahua,CHLOE,Female,ELIZABETH VALE
129797,Brown/Black,Rottweiler X,ZORA,Desexed Female,SMITHFIELD PLAINS
129798,Tan/White,Jack Russell Terrier,BONO,Desexed Male,ELIZABETH GROVE
129801,Black,Jack Russell Terrier,ECKY,Desexed Male,MUNNO PARA WEST
129815,Black,Staffordshire Bull Terrier X,STITCH,Male,DAVOREN PARK
129818,Tan,Terrier X,SASSIE,Desexed Female,ANDREWS FARM
129842,Black/Brown,X Breed,COOPER,Desexed Male,HILLBANK
129849,Black/White,Maltese X,HADLEY,Male,BLAKEVIEW
129850,White/Brown/Black,Fox Terrier (Smooth),TIM TAM,Desexed Female,ANDREWS FARM
129854,Tan,Staffordshire Bull Terrier X,MAX,Desexed Male,SMITHFIELD
129855,Sable,Keeshond,SABLE,Desexed Female,ANGLE VALE
129858,White,Japanese Spitz X,ASHER,Male,SAMPSON FLAT
129860,Brindle,Rhodesian Ridgeback X,RUSTY RODRIGUEZ,Male,ELIZABETH SOUTH
129861,Tan,Terrier X,BEN,Male,CRAIGMORE
129864,White/Brown,Maltese X,BELLA,Female,ELIZABETH
